timestamp_s,channel,raw_adc,voltage_uv
0.0000,1,409,1.902
0.1000,1,-988,-4.595
0.2000,1,-467,-2.175
0.3000,1,33,0.156
0.4000,1,785,3.652
0.5000,1,354,1.650
0.6000,1,206,0.959
0.7000,1,379,1.762
0.8000,1,-25,-0.119
0.9000,1,-427,-1.986
1.0000,1,-791,-3.680
1.1000,1,-516,-2.399
1.2000,1,-295,-1.375
1.3000,1,207,0.965
1.4000,1,-605,-2.817
1.5000,1,181,0.842
1.6000,1,574,2.672
1.7000,1,-200,-0.931
1.8000,1,-96,-0.448
1.9000,1,-565,-2.629
2.0000,1,-194,-0.902
2.1000,1,-101,-0.472
2.2000,1,129,0.604
2.3000,1,-628,-2.922
2.4000,1,226,1.053
2.5000,1,-744,-3.463
2.6000,1,322,1.497
2.7000,1,81,0.378
2.8000,1,-889,-4.134
2.9000,1,-503,-2.343
3.0000,1,111,0.518
3.1000,1,-729,-3.390
3.2000,1,-246,-1.147
3.3000,1,-4,-0.022
3.4000,1,-1114,-5.179
3.5000,1,289,1.347
3.6000,1,260,1.209
3.7000,1,-447,-2.081
3.8000,1,573,2.664
3.9000,1,-667,-3.102
4.0000,1,297,1.385
4.1000,1,-118,-0.550
4.2000,1,180,0.839
4.3000,1,-24,-0.115
4.4000,1,-641,-2.984
4.5000,1,384,1.787
4.6000,1,-98,-0.457
4.7000,1,-615,-2.861
4.8000,1,-482,-2.244
4.9000,1,237,1.106
5.0000,1,61,0.286
5.1000,1,-159,-0.740
5.2000,1,-107,-0.500
5.3000,1,-221,-1.029
5.4000,1,-106,-0.497
5.5000,1,-346,-1.613
5.6000,1,423,1.970
5.7000,1,-149,-0.693
5.8000,1,-104,-0.486
5.9000,1,614,2.857
6.0000,1,-651,-3.027
6.1000,1,665,3.092
6.2000,1,-188,-0.877
6.3000,1,553,2.571
6.4000,1,-575,-2.678
6.5000,1,912,4.244
6.6000,1,289,1.346
6.7000,1,96,0.448
6.8000,1,-232,-1.083
6.9000,1,377,1.753
7.0000,1,646,3.003
7.1000,1,132,0.616
7.2000,1,-59,-0.275
7.3000,1,668,3.106
7.4000,1,-359,-1.672
7.5000,1,-151,-0.703
7.6000,1,161,0.751
7.7000,1,-192,-0.895
7.8000,1,-596,-2.775
7.9000,1,-116,-0.542
8.0000,1,75,0.349
8.1000,1,224,1.044
8.2000,1,60,0.281
8.3000,1,206,0.962
8.4000,1,67,0.314
8.5000,1,-187,-0.872
8.6000,1,-237,-1.102
8.7000,1,129,0.601
8.8000,1,-79,-0.370
8.9000,1,-820,-3.816
9.0000,1,252,1.172
9.1000,1,-77,-0.359
9.2000,1,26,0.125
9.3000,1,238,1.110
9.4000,1,1,0.007
9.5000,1,-366,-1.703
9.6000,1,198,0.925
9.7000,1,-19,-0.090
9.8000,1,-593,-2.760
9.9000,1,352,1.638
10.0000,1,68,0.321
