timestamp_s,channel,raw_adc,voltage_uv
0.0000,1,-730,-3.399
0.1000,1,-324,-1.511
0.2000,1,-524,-2.438
0.3000,1,-5,-0.024
0.4000,1,179,0.837
0.5000,1,-339,-1.580
0.6000,1,14,0.066
0.7000,1,-131,-0.611
0.8000,1,192,0.897
0.9000,1,-267,-1.244
1.0000,1,325,1.512
1.1000,1,76,0.355
1.2000,1,-503,-2.340
1.3000,1,52,0.246
1.4000,1,22564,104.904
1.5000,1,-172,-0.800
1.6000,1,-309,-1.437
1.7000,1,1403,6.523
1.8000,1,-396,-1.842
1.9000,1,-10,-0.047
2.0000,1,436,2.028
2.1000,1,-255,-1.188
2.2000,1,178,0.830
2.3000,1,-604,-2.812
2.4000,1,24,0.112
2.5000,1,849,3.947
2.6000,1,44,0.205
2.7000,1,153,0.716
2.8000,1,795,3.698
2.9000,1,77,0.362
3.0000,1,104,0.484
3.1000,1,-297,-1.382
3.2000,1,139,0.649
3.3000,1,35,0.163
3.4000,1,-888,-4.130
3.5000,1,-122,-0.571
3.6000,1,-410,-1.908
3.7000,1,172,0.801
3.8000,1,-544,-2.533
3.9000,1,-81,-0.379
4.0000,1,-162,-0.754
4.1000,1,257,1.199
4.2000,1,267,1.246
4.3000,1,670,3.119
4.4000,1,-553,-2.575
4.5000,1,-134,-0.627
4.6000,1,-224,-1.045
4.7000,1,307,1.430
4.8000,1,1073,4.989
4.9000,1,490,2.281
5.0000,1,86,0.401
5.1000,1,0,-0.003
5.2000,1,165,0.771
5.3000,1,15,0.073
5.4000,1,81,0.377
5.5000,1,-9,-0.046
5.6000,1,442,2.059
5.7000,1,17,0.081
5.8000,1,73,0.341
5.9000,1,-60,-0.280
6.0000,1,-250,-1.166
6.1000,1,-242,-1.128
6.2000,1,-36,-0.168
6.3000,1,291,1.357
6.4000,1,9,0.045
6.5000,1,263,1.224
6.6000,1,-322,-1.497
6.7000,1,-90,-0.421
6.8000,1,-127,-0.594
6.9000,1,-220,-1.027
7.0000,1,-198,-0.923
7.1000,1,45,0.211
7.2000,1,-455,-2.118
7.3000,1,-498,-2.320
7.4000,1,-272,-1.265
7.5000,1,-458,-2.131
7.6000,1,-516,-2.403
7.7000,1,233,1.087
7.8000,1,-416,-1.936
7.9000,1,-377,-1.756
